epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,40.5647,1.90137,1.04414,0.8654,0.42111,0.8981,0.78358,0.39837,1.69755,1.81882,0.83877,0.00120596,0.00120596,0.00120596
72,40.996,2.07563,1.11694,0.86629,0.41444,0.88389,0.76438,0.37866,1.72003,1.84455,0.84107,0.00122038,0.00122038,0.00122038
73,41.8759,2.23429,1.1765,0.87772,0.41444,0.88389,0.76438,0.37866,1.72003,1.84455,0.84107,0.00123471,0.00123471,0.00123471
74,42.2965,2.15168,1.14498,0.86353,0.41444,0.88389,0.76438,0.37866,1.72003,1.84455,0.84107,0.00124897,0.00124897,0.00124897
75,42.7073,2.10088,1.08656,0.87368,0.41778,0.891,0.77974,0.34773,1.87868,1.79924,0.84899,0.00126315,0.00126315,0.00126315
76,43.1062,1.90776,1.05331,0.85704,0.41778,0.891,0.77974,0.34773,1.87868,1.79924,0.84899,0.00127725,0.00127725,0.00127725
77,43.5557,2.10923,1.14983,0.89574,0.41778,0.891,0.77974,0.34773,1.87868,1.79924,0.84899,0.00129127,0.00129127,0.00129127
78,43.9792,2.2269,1.10429,0.86796,0.41444,0.88389,0.75524,0.31036,1.98167,1.71703,0.85171,0.00130521,0.00130521,0.00130521
79,44.4214,2.23545,1.18289,0.88293,0.41444,0.88389,0.75524,0.31036,1.98167,1.71703,0.85171,0.00131907,0.00131907,0.00131907
80,44.8028,2.06366,1.03228,0.8465,0.41444,0.88389,0.75524,0.31036,1.98167,1.71703,0.85171,0.00133286,0.00133286,0.00133286
81,45.1935,1.71801,0.97878,0.8501,0.59881,0.891,0.74824,0.34106,1.87906,1.55984,0.84446,0.00134656,0.00134656,0.00134656
82,45.5903,2.1938,1.14786,0.86912,0.59881,0.891,0.74824,0.34106,1.87906,1.55984,0.84446,0.00136018,0.00136018,0.00136018
83,46.116,2.17957,1.17413,0.85502,0.59881,0.891,0.74824,0.34106,1.87906,1.55984,0.84446,0.00137373,0.00137373,0.00137373
84,47.0346,2.30022,1.12198,0.8548,0.62293,0.88863,0.78765,0.42165,1.6825,1.5234,0.83787,0.0013872,0.0013872,0.0013872
85,47.629,2.1159,1.13952,0.89952,0.62293,0.88863,0.78765,0.42165,1.6825,1.5234,0.83787,0.00140058,0.00140058,0.00140058
86,48.1957,2.1158,1.04149,0.84457,0.62293,0.88863,0.78765,0.42165,1.6825,1.5234,0.83787,0.00141389,0.00141389,0.00141389
87,48.6843,2.08412,1.09232,0.85512,0.62293,0.88863,0.78765,0.42165,1.6825,1.5234,0.83787,0.00142712,0.00142712,0.00142712
88,49.1808,2.29079,1.1775,0.88018,0.62994,0.87129,0.79047,0.41538,1.69908,1.5468,0.84549,0.00144027,0.00144027,0.00144027
89,49.5999,2.05911,1.05378,0.8652,0.62994,0.87129,0.79047,0.41538,1.69908,1.5468,0.84549,0.00145334,0.00145334,0.00145334
90,50.0181,2.20129,1.10694,0.83343,0.62994,0.87129,0.79047,0.41538,1.69908,1.5468,0.84549,0.00146633,0.00146633,0.00146633
91,50.4409,2.07903,1.09322,0.86059,0.62994,0.87129,0.79047,0.41538,1.69908,1.5468,0.84549,0.00147924,0.00147924,0.00147924
92,50.8592,2.12801,1.06769,0.86839,0.57991,0.85071,0.73864,0.36979,1.79206,1.57892,0.85649,0.00149207,0.00149207,0.00149207
93,51.4942,2.17045,1.141,0.8903,0.57991,0.85071,0.73864,0.36979,1.79206,1.57892,0.85649,0.00150483,0.00150483,0.00150483
94,52.0926,2.22183,1.07461,0.86089,0.57991,0.85071,0.73864,0.36979,1.79206,1.57892,0.85649,0.0015175,0.0015175,0.0015175
